0001,371095
0002,371129
0003,371129
0004,371132
0005,371133
0006,371134
0007,371134
0008,371134
0009,371145
0010,371145
0011,371146
0012,371146
0013,371146
0014,371146
0015,371173
0016,371202
0017,371204
0018,371204
0019,371205
0020,371207
0021,371217
0022,371217
0023,371217
0024,371223
0025,371226
0026,371226
0027,371226
0028,371229
0029,371230
0030,371232
0031,371232
0032,371233
0033,371233
0034,371233
0035,371233
0036,371236
0037,371236
0038,371236
0039,371236
0040,371242
0041,371252
0042,371252
0043,371252
0044,371254
0045,371254
0046,371254
0047,371256
0048,371256
0049,371257
0050,371257
0051,371257
0052,371270
0053,371272
0054,371274
0055,371278
0056,371282
0057,371283
0058,371301
0059,371301
0060,371301
0061,371301
0062,371301
0063,371301
0064,371301
0065,371301
0066,371310
0067,371310
0068,371310
0069,371310
0070,371310
0071,371310
0072,371311
0073,371311
0074,371311
0075,371311
0076,371311
0077,371311
0078,371311
0079,371311
0080,371313
0081,371313
0082,371314
0083,371314
0084,371314
0085,371315
0086,371315
0087,371316
0088,371318
0089,371320
0090,371320
0091,371320
0092,371320
0093,371320
0094,371320
0095,371320
0096,371320
0097,371321
0098,371322
0099,371323
0100,371324
0101,371327
0102,371328
0103,371328
0104,371332
0105,371336
0106,371337
0107,371338
0108,371339
0109,371342
0110,371342
0111,371344
0112,371345
0113,371347
0114,371349
0115,371349
0116,371349
0117,371349
0118,371349
0119,371350
0120,371351
0121,371351
0122,371352
0123,371352
0124,371352
0125,371356
0126,371358
0127,371358
0128,371359
0129,371359
0130,371360
0131,371360
0132,371360
0133,371367
0134,371368
0135,371371
0136,371372
0137,371372
0138,371372
0139,371373
0140,371379
0141,371380
0142,371381
0143,371383
0144,371383
0145,371383
0146,371383
0147,371383
0148,371384
0149,371384
0150,371385
0151,371386
0152,371391
0153,371397
0154,371397
0155,371398
0156,371402
0157,371402
0158,371402
0159,371402
0160,371405
0161,371413
0162,371414
0163,371414
0164,371414
0165,371414
0166,371414
0167,371414
0168,371414
0169,371414
0170,371419
0171,371419
0172,371419
0173,371419
0174,371419
0175,371419
0176,371421
0177,371421
0178,371421
0179,371422
0180,371422
0181,371430
0182,371430
0183,371431
0184,371431
0185,371431
0186,371435
0187,371435
0188,371438
0189,371444
0190,371449
0191,371461
0192,371461
0193,371461
0194,371463
0195,371475
0196,371483
0197,371483
0198,371483
0199,371483
0200,371487
0201,371487
0202,371490
0203,371491
0204,371500
0205,371501
0206,371502
0207,371502
0208,371502
0209,371502
0210,371502
0211,371502
0212,371502
0213,371502
0214,371508
0215,371508
0216,371509
0217,371509
0218,371509
0219,371513
0220,371537
0221,371538
0222,371542
0223,371542
0224,371542
0225,371542
0226,371548
0227,371548
0228,371553
0229,371553
0230,371553
0231,371560
0232,371573
0233,371573
0234,371573
0235,371573
0236,371573
0237,371574
0238,371574
0239,371574
0240,371575
0241,371580
0242,371581
0243,371586
0244,371608
0245,371608
0246,371608
0247,371608
0248,371627
0249,371627
0250,371627
0251,371627
0252,371627
0253,371642
0254,371642
0255,371652
0256,371657
0257,371663
0258,371663
0259,371664
0260,371680
0261,371680
0262,371684
0263,371684
0264,371684
0265,371684
0266,371684
0267,371684
0268,371684
0269,371684
0270,371691
0271,371701
0272,371704
0273,371704
0274,371706
0275,371708
0276,371709
0277,371709
0278,371714
0279,371714
0280,371714
0281,371736
0282,371766
0283,371774
0284,371782
0285,371782
0286,371785
0287,371785
0288,371785
0289,371785
0290,371785
0291,371785
0292,371785
0293,371785
0294,371796
0295,371796
0296,371796
0297,371799
0298,371800
0299,371800
0300,371800
